date,deaths_freq,day_nbr,deaths_cumulative
8/19/54,1,1,1
8/20/54,1,2,2
8/21/54,1,3,3
8/22/54,0,4,3
8/23/54,1,5,4
8/24/54,1,6,5
8/25/54,0,7,5
8/26/54,1,8,6
8/27/54,1,9,7
8/28/54,1,10,8
8/29/54,1,11,9
8/30/54,8,12,17
8/31/54,56,13,73
9/1/54,143,14,216
9/2/54,116,15,332
9/3/54,54,16,386
9/4/54,46,17,432
9/5/54,36,18,468
9/6/54,20,19,488
9/7/54,28,20,516
9/8/54,12,21,528
9/9/54,11,22,539
9/10/54,5,23,544
9/11/54,5,24,549
9/12/54,1,25,550
9/13/54,3,26,553
9/14/54,0,27,553
9/15/54,1,28,554
9/16/54,4,29,558
9/17/54,2,30,560
9/18/54,3,31,563
9/19/54,0,32,563
9/20/54,0,33,563
9/21/54,2,34,565
9/22/54,1,35,566
9/23/54,1,36,567
9/24/54,1,37,568
9/25/54,1,38,569
9/26/54,1,39,570
9/27/54,1,40,571
9/28/54,0,41,571
9/29/54,0,42,571
